     Ix       Turn             x              px               y              py               z              pz        spin_x    spin_y    spin_z    State
      1          0  2.88312568E-05  3.44949693E-04  8.48300950E-08 -5.70732531E-05  1.58555621E-02 -1.03790356E-03     0.000000  0.000000  1.000000    Alive
        2        0  9.10794766E-06  4.62686780E-04 -4.22943006E-08 -2.45625894E-05  2.21477585E-02 -4.23381366E-04     0.000000  0.000000  1.000000    Alive
        3        0  2.96663604E-05 -3.60958121E-04  9.79967832E-09  6.03181571E-05  1.10776088E-02  3.74022055E-05     0.000000  0.000000  1.000000    Alive
        4        0  4.12739774E-05 -2.11277663E-04  5.94671587E-08 -1.32355994E-07  1.89203811E-02 -4.60435604E-04     0.000000  0.000000  1.000000    Alive
        5        0 -3.45047974E-06 -2.97522120E-04  4.94534514E-08  4.67147133E-05  5.08284842E-03 -4.06682499E-04     0.000000  0.000000  1.000000    Alive
        6        0  2.16321219E-06 -2.72533064E-04  1.27862223E-07 -3.06934797E-05  1.56547759E-02 -6.74349766E-04     0.000000  0.000000  1.000000    Alive
        7        0 -1.23938879E-06 -5.44279144E-04 -4.50517665E-08  3.19714064E-05  9.39603203E-03 -5.15457951E-04     0.000000  0.000000  1.000000    Alive
        8        0  1.73644809E-05  4.57439605E-04  1.48546181E-07  5.13234074E-06  1.59004085E-02  4.09732751E-05     0.000000  0.000000  1.000000    Alive
        9        0  2.04562256E-06 -3.89733843E-04 -1.14487449E-08  1.22382415E-04  2.29685422E-02 -6.38430459E-04     0.000000  0.000000  1.000000    Alive
       10        0 -1.56428917E-06 -1.07630191E-05  2.45313369E-08 -5.65275257E-05  2.09028693E-02 -2.61924409E-04     0.000000  0.000000  1.000000    Alive
       11        0  2.17354403E-05  1.02016021E-04  1.63212321E-07 -6.80543431E-05  1.38478662E-02 -1.30420920E-04     0.000000  0.000000  1.000000    Alive
       12        0 -1.01321916E-05  6.35623858E-05  5.17292195E-08 -1.20081032E-05  2.34521744E-02 -4.46201698E-04     0.000000  0.000000  1.000000    Alive
       13        0  1.76982762E-05  2.61628366E-04  2.54004014E-08  2.83852700E-05  2.28974806E-02 -1.69177940E-03     0.000000  0.000000  1.000000    Alive
       14        0  2.68207187E-05 -5.55894315E-04  4.94211247E-08 -1.27500350E-04  1.86302370E-02 -4.45439534E-04     0.000000  0.000000  1.000000    Alive
       15        0  7.15850423E-06 -1.03471612E-04  1.00777744E-07  4.88581804E-05  8.49691659E-03 -6.82658458E-04     0.000000  0.000000  1.000000    Alive
       16        0  3.19223560E-05  4.26722908E-05  3.68925767E-08  3.85721339E-05  1.06054847E-02 -2.22606219E-04     0.000000  0.000000  1.000000    Alive
       17        0  6.04560453E-06 -3.39864768E-05  9.51664885E-08  1.13922116E-04  1.77937371E-02 -3.29189719E-04     0.000000  0.000000  1.000000    Alive
       18        0  3.72760850E-05 -3.92120576E-05  7.82392338E-08  8.24795765E-05  1.93349237E-02  6.90173954E-04     0.000000  0.000000  1.000000    Alive
       19        0  2.61522406E-05 -3.02936414E-04  5.84305708E-08  5.90726047E-05  1.09245956E-02 -3.23535247E-04     0.000000  0.000000  1.000000    Alive
       20        0  2.55725636E-05  7.99567691E-04 -5.26002484E-10  4.49788622E-05  1.95310333E-02  7.83143107E-04     0.000000  0.000000  1.000000    Alive
       21        0  2.26333911E-05 -8.75236566E-05  3.29192863E-09 -6.77945589E-05  1.27784177E-02  3.12446854E-04     0.000000  0.000000  1.000000    Alive
       22        0  1.32312499E-05 -2.72687746E-04  1.00470435E-07 -5.90516661E-05  1.58148379E-02 -1.05020939E-04     0.000000  0.000000  1.000000    Alive
       23        0  2.40755767E-05  2.63078232E-04  1.76968747E-08 -6.06067124E-05  1.36972414E-02  1.47048239E-03     0.000000  0.000000  1.000000    Alive
       24        0  6.32101885E-06 -6.44723153E-04  8.09623724E-08 -1.04577318E-04  2.49310463E-02  1.83691816E-04     0.000000  0.000000  1.000000    Alive
       25        0  8.62481184E-06 -4.76033007E-04  1.58578972E-07 -1.76585879E-05  1.80009896E-02  9.15135434E-04     0.000000  0.000000  1.000000    Alive
       26        0  8.72663429E-06 -1.93031595E-04  1.11192801E-07  1.45072595E-05  1.20766133E-02 -3.54636319E-04     0.000000  0.000000  1.000000    Alive
