     Ix       Turn             x              px               y              py               z              pz         spin_x    spin_y    spin_z    State
      1       1200  3.47276093E-05 -2.45411830E-04 -5.26605134E-09  4.35751467E-05  1.05997093E-02 -3.13174327E-04    -0.013250 -0.019241  0.999727    Alive
        2     1200  1.98918058E-05 -3.87167668E-04  1.09851153E-07  1.68255475E-04  2.60758569E-02 -1.41961855E-03    -0.005033 -0.031395  0.999494    Alive
        3     1200 -7.75587487E-06  2.58656621E-04 -1.89309659E-08 -8.73816440E-05  1.89260920E-02  5.15728500E-04     0.008833 -0.008483  0.999925    Alive
        4     1200  1.71310758E-06  4.09818291E-04 -2.03304110E-08 -1.76357358E-06  1.05482137E-02 -2.23064434E-04     0.004675 -0.012070  0.999916    Alive
        5     1200 -9.13443774E-06 -3.34266482E-04  4.28344534E-07  5.93585586E-05  1.52832147E-02  1.12567146E-03     0.002414  0.029607  0.999559    Alive
        6     1200  5.68691498E-06 -2.04217076E-04  1.96779888E-08  1.12343214E-04  1.22901840E-02  2.52551888E-04     0.001828 -0.008932  0.999958    Alive
        7     1200 -2.09929459E-05  1.12574384E-04 -1.00777225E-07  1.66850427E-04  1.09517485E-02  2.18791043E-04     0.018974  0.017205  0.999672    Alive
        8     1200 -1.67936458E-05  1.97631575E-04  4.30342597E-08 -9.64530828E-05  1.92194699E-02 -6.51578959E-04     0.017744 -0.031994  0.999331    Alive
        9     1200 -3.20943120E-05  4.35760423E-04 -1.90577409E-07  1.30627341E-03  1.54726904E-02 -9.98161135E-04     0.014351  0.031484  0.999401    Alive
       10     1200 -6.73740104E-07 -1.28977840E-04 -4.77990132E-08  5.93495438E-05  1.73767833E-02 -1.10637405E-03    -0.015694 -0.033708  0.999309    Alive
       11     1200  2.12948895E-05  1.17111371E-04  5.95640700E-08  6.78603915E-05  1.03554360E-02 -2.39870711E-04     0.014771 -0.024480  0.999591    Alive
       12     1200  3.58500416E-06 -7.44462370E-05  1.91102975E-08 -6.45265258E-05  1.77681972E-02 -1.32083403E-03    -0.004156 -0.034757  0.999387    Alive
       13     1200 -2.20769688E-05  5.94131380E-05 -2.14429584E-08 -1.37483248E-05  8.38648417E-03 -7.16862467E-04     0.028855 -0.004286  0.999574    Alive
       14     1200 -1.18949562E-05  5.53310783E-04 -4.33491583E-08 -1.59415723E-04  1.56470892E-02 -2.29995447E-04     0.004128  0.007005  0.999967    Alive
       15     1200  1.32718046E-05 -2.86440191E-04  2.69820860E-08  4.26053781E-05  7.02926400E-03 -5.97830577E-04    -0.013091 -0.036813  0.999236    Alive
       16     1200 -5.41020074E-06  1.05170674E-05  5.50615646E-08  7.61495726E-05  7.92288078E-03  5.02565144E-04     0.000844 -0.016134  0.999869    Alive
       17     1200 -4.75677159E-07 -4.98753209E-05 -7.04731776E-08  9.06838006E-05  1.38089551E-02 -3.00452073E-04     0.007670 -0.013670  0.999877    Alive
       18     1200  5.01804239E-05 -1.33957646E-05  2.85208497E-07  1.23611660E-04  2.69563794E-02  5.90768430E-04     0.016336  0.037159  0.999176    Alive
       19     1200 -2.70291337E-05  4.49433687E-05 -7.96457301E-09  5.81790440E-05  1.72008121E-02  1.72168209E-04     0.023146 -0.004676  0.999721    Alive
       20     1200 -4.01066212E-05 -1.39757222E-05 -3.61955071E-08  3.25510872E-04  2.49124164E-02 -1.29272381E-04     0.040510 -0.008047  0.999147    Alive
       21     1200 -2.54916533E-05 -7.43669118E-05  6.02272093E-09 -2.98229105E-05  1.77492836E-02 -3.78075093E-04     0.022686 -0.024099  0.999452    Alive
       22     1200  5.63404520E-06 -2.03424958E-04 -1.00854514E-08 -1.11185343E-04  1.90374380E-02  5.69499391E-05     0.010643 -0.002658  0.999940    Alive
       23     1200 -2.35685207E-05  4.39631534E-04  2.78869222E-07  2.17783578E-04  1.98672607E-02  2.33882593E-04     0.049117  0.018315  0.998625    Alive
       24     1200  1.72153229E-05 -2.25103208E-04  4.29027572E-09  3.26261894E-04  1.52176339E-02 -4.42818660E-04     0.027638 -0.018387  0.999449    Alive
       25     1200  5.52548198E-06 -3.45533388E-04 -5.64203058E-09 -1.28443306E-04  2.34618466E-02 -2.33334010E-04     0.017593  0.017531  0.999692    Alive
       26     1200  3.00097929E-06 -4.85718389E-04 -3.18064869E-09 -1.36355245E-04  1.58291295E-02  1.40379947E-04     0.003400 -0.009677  0.999947    Alive
