       Ix     Turn             x              px               y              py               z              pz         spin_x    spin_y    spin_z    State
        1      500  2.87934711E-05  2.64428591E-05 -2.11294800E-08  2.55136864E-05  1.58515523E-02 -5.47612727E-04     0.007981  0.007102  0.999943    Alive
        2      500 -2.47138436E-05 -7.05208512E-04  2.42693886E-08 -1.07691025E-04  1.83087823E-02  4.79681734E-04    -0.016012  0.020942  0.999652    Alive
        4      500  1.63944435E-05  8.25224021E-04  1.93491635E-08  3.08804660E-05  1.93500897E-02  4.74577758E-04     0.016759  0.017634  0.999704    Alive
        8      500 -1.06864369E-05 -1.13414568E-04  6.26030798E-08  6.10502017E-05  1.43273116E-02 -4.74459431E-05     0.003746  0.021387  0.999764    Alive
       10      500 -9.03518112E-05 -2.11421173E-04  1.34704642E-07 -9.76960971E-05  1.19877668E-02  2.24638973E-04     0.002833  0.025698  0.999666    Alive
       12      500  1.76889088E-05 -9.37294246E-05  1.23040556E-09  4.65497529E-05  1.52122234E-02 -1.25004451E-04    -0.000838 -0.007341  0.999973    Alive
       19      500 -9.39945849E-06 -7.30215690E-04 -8.15333126E-08 -7.87825137E-05  1.72729940E-02  4.21443791E-04     0.004554  0.024647  0.999686    Alive
       31      500  3.13272763E-05  2.92271549E-05  1.12924033E-08 -8.71517063E-05  1.87724608E-02 -4.61321186E-04    -0.001890 -0.001460  0.999997    Alive
       32      500 -1.63023793E-06  8.74716239E-04 -1.71972473E-07  1.20178757E-04  1.55402772E-02 -9.16778917E-04     0.033119 -0.014774  0.999342    Alive
       39      500 -2.94892599E-06  3.02769954E-04  1.96917700E-08  4.55715545E-05  1.79475441E-02 -1.84244842E-04     0.003719  0.007343  0.999966    Alive
       41      500  9.72035843E-06  2.90770737E-04 -7.68551732E-08 -2.63682524E-05  1.59381182E-02 -2.33803185E-04     0.018856 -0.000756  0.999822    Alive
       45      500  6.08616630E-05 -1.51332653E-03 -5.56962284E-08 -1.43100701E-04  1.40790541E-02  2.55338464E-04    -0.010821  0.003302  0.999936    Alive
       47      500  1.10143492E-04  1.24678494E-03 -2.45984282E-08  1.24661329E-05  1.31376888E-02  2.52605458E-04     0.022833  0.010280  0.999686    Alive
       49      500 -5.03515494E-06  2.92661846E-04  1.26378487E-07  9.31901101E-05  1.52995578E-02  5.32283624E-04     0.015837  0.015118  0.999760    Alive
       50      500 -3.95587316E-05  5.69912164E-05  6.60760414E-08 -9.80166113E-05  2.26086374E-02 -4.15584807E-04    -0.011176 -0.010622  0.999881    Alive
       51      500  4.97473203E-06  1.71170102E-05 -1.57681982E-08 -5.92206123E-05  1.54552299E-02 -5.24535541E-05     0.004228  0.009375  0.999947    Alive
       58      500 -1.05188708E-05 -4.55269454E-04  9.91212106E-09 -7.80425884E-05  1.52944819E-02  2.86171133E-04     0.015766  0.010524  0.999820    Alive
       60      500  2.00481354E-05  1.41042017E-04 -4.66672291E-08  2.78558684E-05  1.31054851E-02  1.01804216E-04     0.006967  0.000748  0.999975    Alive
       61      500 -1.02826501E-05  8.79350699E-04  2.53611180E-08 -3.11649014E-04  1.30881030E-02 -3.25862525E-04     0.035632 -0.003296  0.999360    Alive
       63      500  1.42037469E-05  1.63098526E-04 -1.06809238E-08  5.16691931E-05  1.35056983E-02 -3.28212107E-05     0.009421  0.016433  0.999821    Alive
       69      500 -9.68942799E-06 -1.26781562E-04 -3.90334396E-08 -2.03138343E-06  1.95069011E-02  6.36319592E-04    -0.009710  0.026059  0.999613    Alive
       71      500 -1.38307075E-06 -2.19849077E-04 -4.66279612E-09  3.41443634E-05  1.34024654E-02  2.63149601E-04     0.000048  0.010812  0.999942    Alive
       72      500 -7.14304815E-05  3.73183803E-04 -4.62753534E-08 -1.16256762E-05  1.60158578E-02 -2.94945270E-04     0.011076  0.004438  0.999929    Alive
       74      500 -2.73793216E-05 -2.57403346E-03 -1.41192740E-07 -5.43799661E-05  1.21061418E-02  5.31143892E-04    -0.048215  0.024647  0.998533    Alive
       77      500 -6.90098470E-06 -2.14814114E-03 -7.33343068E-08  1.24337839E-05  1.75800415E-02  8.22716626E-04    -0.044960  0.031359  0.998497    Alive
       78      500 -1.12663544E-05 -3.04425130E-04  9.80470154E-08  5.36803448E-05  1.87499378E-02  3.28939950E-04     0.015837  0.012649  0.999795    Alive
       80      500 -1.96140408E-04  6.51671102E-04 -1.07825261E-07 -8.26950294E-06  2.06630542E-02 -3.92729795E-04     0.015533 -0.012826  0.999797    Alive
       84      500 -3.15704427E-05 -1.66092451E-03  8.16576430E-09  9.26671382E-06  1.15535304E-02  1.48705599E-04     0.011758  0.015885  0.999805    Alive
