Index    name         key              s           l     floor.x         floor.y         floor.z         floor.theta     floor.phi       floor.psi       spin.x          spin.y          spin.z
    0    BEGINNING    Beginning_Ele    0.000       ---   0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      1  PA1RFGUN     Marker               0.000   0.000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      2  GVA1RG       Drift                0.085   0.085    0.0000000000    0.0000000000    0.0850000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      3  L0SPA1G      Drift                0.130   0.045    0.0000000000    0.0000000000    0.1300000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      4  SPA1G        Drift                0.130   0.000    0.0000000000    0.0000000000    0.1300000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      5  LSPA1G       Drift                0.133   0.003    0.0000000000    0.0000000000    0.1332000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      6  QDA1G1       Quadrupole           0.207   0.074    0.0000000000    0.0000000000    0.2068000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      7  LQDA1G1      Drift                0.243   0.036    0.0000000000    0.0000000000    0.2432000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      8  QFA1G2       Quadrupole           0.317   0.074    0.0000000000    0.0000000000    0.3168000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
      9  LQFA1G2      Drift                0.465   0.148    0.0000000000    0.0000000000    0.4650000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     10  L0SCA1G      Drift                0.593   0.128    0.0000000000    0.0000000000    0.5925000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     11  SCA1G        Drift                0.593   0.000    0.0000000000    0.0000000000    0.5925000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     12  LSCA1G       Drift                0.635   0.043    0.0000000000    0.0000000000    0.6350000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     13  LA1002       Drift                1.277   0.642    0.0000000000    0.0000000000    1.2770000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     14  BXA1G        Sbend                1.277   0.000    0.0000000000    0.0000000000    1.2770000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     15  BYA1G        Sbend                1.277   0.000    0.0000000000    0.0000000000    1.2770000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     16  LBXBYA1G     Drift                1.335   0.058    0.0000000000    0.0000000000    1.3345000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     17  LA1002       Drift                1.977   0.642    0.0000000000    0.0000000000    1.9765000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     18  L0SPA10      Drift                2.017   0.041    0.0000000000    0.0000000000    2.0172000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     19  SPA10        Drift                2.017   0.000    0.0000000000    0.0000000000    2.0172000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     20  LSPA10       Drift                2.017   0.000    0.0000000000    0.0000000000    2.0172000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     21  QDA101       Quadrupole           2.091   0.074    0.0000000000    0.0000000000    2.0908000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     22  LQDA101      Drift                2.127   0.036    0.0000000000    0.0000000000    2.1272000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     23  QFA102       Quadrupole           2.201   0.074    0.0000000000    0.0000000000    2.2008000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     24  LQFA102      Drift                2.242   0.041    0.0000000000    0.0000000000    2.2415000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     25  L0SCA10      Drift                2.284   0.043    0.0000000000    0.0000000000    2.2840000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     26  SCA10        Drift                2.284   0.000    0.0000000000    0.0000000000    2.2840000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     27  LSCA10       Drift                2.327   0.043    0.0000000000    0.0000000000    2.3265000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     28  L1ACAT1      Drift                2.418   0.091    0.0000000000    0.0000000000    2.4180000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     29  PACA11       Marker               2.418   0.000    0.0000000000    0.0000000000    2.4180000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     30  ACA111       Lcavity              3.037   0.619    0.0000000000    0.0000000000    3.0365000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     31  SXA11        Sbend                3.037   0.000    0.0000000000    0.0000000000    3.0365000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     32  SYA11        Sbend                3.037   0.000    0.0000000000    0.0000000000    3.0365000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     33  ACA112       Lcavity              4.307   1.271    0.0000000000    0.0000000000    4.3074480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     34  PACA11       Marker               4.307   0.000    0.0000000000    0.0000000000    4.3074480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     35  L1ACAT1      Drift                4.399   0.091    0.0000000000    0.0000000000    4.3989480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     36  L0SPA11      Drift                4.444   0.045    0.0000000000    0.0000000000    4.4439480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     37  SPA11        Drift                4.444   0.000    0.0000000000    0.0000000000    4.4439480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     38  LSPA11       Drift                4.452   0.008    0.0000000000    0.0000000000    4.4521480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     39  QDA111       Quadrupole           4.526   0.074    0.0000000000    0.0000000000    4.5257480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     40  LQDA111      Drift                4.607   0.081    0.0000000000    0.0000000000    4.6066480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     41  QFA112       Quadrupole           4.721   0.115    0.0000000000    0.0000000000    4.7212480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     42  LQFA112      Drift                4.802   0.081    0.0000000000    0.0000000000    4.8021480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     43  QDA113       Quadrupole           4.876   0.074    0.0000000000    0.0000000000    4.8757480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     44  LQDA113      Drift                4.994   0.118    0.0000000000    0.0000000000    4.9939480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     45  L0SCA11      Drift                5.044   0.050    0.0000000000    0.0000000000    5.0439480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     46  SCA11        Drift                5.044   0.000    0.0000000000    0.0000000000    5.0439480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     47  LSCA11       Drift                5.094   0.050    0.0000000000    0.0000000000    5.0939480000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     48  L0BMA1C1     Drift                5.235   0.141    0.0000000000    0.0000000000    5.2353230000    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     49  BMA1C1       Sbend                5.383   0.147   -0.0117978933    0.0000000000    5.3819409239   -0.1605878457    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     50  LBMA1C1      Drift                5.735   0.353   -0.0682020950    0.0000000000    5.7301522513   -0.1605878457    0.0000000000    0.0000000000    0.0000000000    1.0000000000    0.0000000000
     51  BMA1C2       Sbend                5.883   0.147   -0.0799999882    0.0000000000    5.8767701751    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000   -0.0000000000
     52  LBMA1C2      Drift                6.009   0.126   -0.0799999882    0.0000000000    6.0031451751    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000   -0.0000000000
     53  SCA1C20      Drift                6.009   0.000   -0.0799999882    0.0000000000    6.0031451751    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000   -0.0000000000
     54  LSCA1C20     Drift                6.135   0.126   -0.0799999882    0.0000000000    6.1295201751    0.0000000000    0.0000000000    0.0000000000    0.0000000000    1.0000000000   -0.0000000000
     55  BMA1C3       Sbend                6.283   0.147   -0.0682020950    0.0000000000    6.2761380990    0.1605878457    0.0000000000    0.0000000000   -0.0000000000    1.0000000000    0.0000000000
     56  LBMA1C3      Drift                6.635   0.353   -0.0117978933    0.0000000000    6.6243494264    0.1605878457    0.0000000000    0.0000000000   -0.0000000000    1.0000000000    0.0000000000
     57  BMA1C4       Sbend                6.783   0.147   -0.0000000000    0.0000000000    6.7709673503   -0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     58  LBMA1C4      Drift                6.924   0.141   -0.0000000000    0.0000000000    6.9123423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     59  LA1101       Drift                7.009   0.085   -0.0000000000    0.0000000000    6.9973423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     60  LA1102       Drift                7.909   0.900   -0.0000000000    0.0000000000    7.8973423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     61  LA1103       Drift                8.064   0.155   -0.0000000000    0.0000000000    8.0521993503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     62  LBMATJ5      Drift                8.176   0.112   -0.0000000000    0.0000000000    8.1643423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     63  BMATJ5       Sbend                8.349   0.173   -0.0000000000    0.0000000000    8.3373423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     64  PSECTA       Marker               8.349   0.000   -0.0000000000    0.0000000000    8.3373423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     65  L0SXSYA1M    Drift                8.430   0.081   -0.0000000000    0.0000000000    8.4183423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     66  SXA1M        Sbend                8.430   0.000   -0.0000000000    0.0000000000    8.4183423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     67  SYA1M        Sbend                8.430   0.000   -0.0000000000    0.0000000000    8.4183423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     68  LSXSYA1M     Drift                8.509   0.079   -0.0000000000    0.0000000000    8.4973423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     69  LA1M01       Drift                8.594   0.085   -0.0000000000    0.0000000000    8.5823423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     70  L0SPA1M      Drift                8.637   0.043   -0.0000000000    0.0000000000    8.6253423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     71  SPA1M        Drift                8.637   0.000   -0.0000000000    0.0000000000    8.6253423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     72  LSPA1M       Drift                8.726   0.089   -0.0000000000    0.0000000000    8.7148423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     73  QDA1M1       Quadrupole           8.801   0.075   -0.0000000000    0.0000000000    8.7898423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     74  LQDA1M1      Drift                8.888   0.087   -0.0000000000    0.0000000000    8.8768423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     75  QFA1M2       Quadrupole           9.009   0.121   -0.0000000000    0.0000000000    8.9978423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     76  LQFA1M2      Drift                9.096   0.087   -0.0000000000    0.0000000000    9.0848423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     77  QDA1M3       Quadrupole           9.171   0.075   -0.0000000000    0.0000000000    9.1598423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     78  LQDA1M3      Drift                9.249   0.077   -0.0000000000    0.0000000000    9.2373423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
