Index	    Name 		s (m)			 L (m)			     b2			A			     	 B
1675		SD3TLEA		194.1490		1.0300			-3.5766			0.6936			 	-1.7835
2200		SF6TLEA		310.9070		0.3340			 0.8176			6.3622				-1.9253
2240		SD7TLEA		345.4900		1.0300			-3.6069			0.6936				-1.7767
2256		SF8TNEA		351.4170		0.3340			 1.7508			4.0217 			    -4.2993 
2358		SD7NREA		436.0580		1.0300			-4.5822			0.6936				-1.7773
2414		SF6NREA		477.1450		0.3340			 1.4665			6.3625				-1.9261
2454		SD5NREA		511.7290		1.0300			-1.3892			0.6936				-1.7935
2510		SF4NREA		552.8160		0.3340			 2.0922			6.3622				-1.9420
2550		SD3NREA		587.3990		1.0300			-1.4427			0.6936				-1.7980
2600		SF2NREA		628.4860		0.3340			 0.3711			6.3626				-1.9336
2927		SF2NLEA		912.6580		0.3340			 0.0770			6.3622				-1.9260
2967		SD3NLEA		947.2420		1.0300			-3.0697			0.6936				-1.7934
3023		SF4NLEA		988.3290		0.3340			 0.4965			6.3624				-1.9419
3065		SD5NLEA		1022.9120		1.0300			-1.5266			0.6936				-1.7981
3119		SF6NLEA		1063.9990		0.3340			 0.6599			6.3627				-1.9337
3159		SD7NLEA		1098.5820		1.0300			-1.5372			0.6936				-1.7821
3277		SD7FREA		1189.1500		1.0300			-5.4605			0.6936				-1.7757
3327		SF6FREA		1230.238		0.3340			 2.2961			6.3625				-1.9192
3367		SD5FREA		1264.821		1.0300			-6.8029			0.6936				-1.7858
3419		SF4FREA		1305.9080		0.3340			 0.6911			6.3627				-1.9370
3459		SD3FREA		1340.4910		1.0300			-1.9030			0.6936				-1.7994
3507		SF2FREA		1381.5790		0.3340			 1.2261			6.3624				-1.9403
3840		SF2FLEA		1666.2600		0.3340			 0.8562			6.3626	 			-1.9383
3880		SD3FLEA		1700.8430		1.0300			-1.3587			0.6936				-1.7994
3930		SF4FLEA		1741.9300		0.3340			 0.5406			6.3627				-1.9394
3972		SD5FLEA		1776.5130		1.0300			-2.9257			0.6936				-1.7883
4022		SF6FLEA		1817.6010		0.3340			 2.2597			6.3623				-1.9214
4062		SD7FLEA		1852.184		1.0300			-6.9088			0.6936				-1.7756
4078		SF8FOEA		1858.136		0.3340			 1.8705			5.1973 				-3.5988
4178		SD7OREA		1943.7300		1.0300			-7.2423			0.6936				-1.7816
4226		SF6OREA		1984.8170		0.3340			 0.2165			6.3627				-1.9327
4264		SD5OREA		2019.4000		1.0300			-2.8325			0.6936				-1.7978
4312		SF4OREA		2060.4870		0.3340			 1.6864			6.3623				-1.9422
4350		SD3OREA		2095.0710		1.0300			-3.1226			0.6936				-1.7938
4398		SF2OREA		2136.1580		0.3340			 0.3622			6.3624				-1.9271
4876		SF2OLEA		2421.2670		0.3340			 2.2961			6.3624				-1.9190
4916		SD3OLEA		2455.8510		1.0300			-0.7061			0.6936				-1.7855
4964		SF4OLEA		2496.9380		0.3340			 0.5854			6.3627				-1.9367
5004		SD5OLEA		2531.5210		1.0300			-2.4831			0.6936				-1.7993
5052		SF6OLEA		2572.6080		0.3340			 0.4151			6.3624				-1.9405
5090		SD7OLEA		2607.1910		1.0300			-3.3852			0.6936				-1.7901
5106		SF8OTEA		2613.1440		0.3340			 0.3534			5.1971 			    -3.6207	
5206		SD7TREA		2698.737		1.030			-1.7296			0.6936				-1.7780
5254		SF6TREA		2739.825		0.334			 0.8293			6.3627				-1.9168
5292		SD5TREA		2774.408		1.030			-1.6948			0.69362				-1.7801
5340		SF4TREA		2815.495		0.334			 0.5049			6.3625				-1.9307
