  Index  name           key                      s       l     B_field      spin.x      spin.y      spin.z
   1617  BLA6RE         Sbend              142.221   5.902  1.9860E-01  3.8066E-01  1.1426E-03 -9.2471E-01
   1623  BLA6RE         Sbend              150.468   5.902  1.9860E-01 -3.9583E-01  1.1426E-03 -9.1832E-01
   1655  B2E            Sbend              175.085   5.902  2.2075E-01 -9.6177E-01  1.1425E-03 -2.7384E-01
   1675  B2E            Sbend              192.682   5.902  2.2075E-01 -8.2019E-01  1.1425E-03  5.7209E-01
   1707  B2E            Sbend              217.595   5.902  2.2075E-01 -7.5245E-02  1.1425E-03  9.9716E-01
   1713  B2E            Sbend              225.842   5.902  2.2075E-01  7.2506E-01  1.1424E-03  6.8869E-01
   1743  B2E            Sbend              250.755   5.902  2.2075E-01  9.9198E-01  1.1425E-03 -1.2642E-01
   1763  B2E            Sbend              268.352   5.902  2.2075E-01  5.2916E-01  1.1425E-03 -8.4852E-01
   1793  B2E            Sbend              293.265   5.902  2.2075E-01 -3.2293E-01  1.1424E-03 -9.4642E-01
   1799  B2E            Sbend              301.513   5.902  2.2075E-01 -9.3746E-01  1.1425E-03 -3.4809E-01
   1829  B2E            Sbend              326.425   5.902  2.2075E-01 -8.6235E-01  1.1425E-03  5.0630E-01
   1849  B2E            Sbend              344.023   5.902  2.2075E-01 -1.5287E-01  1.1424E-03  9.8825E-01
   1881  B2E            Sbend              368.382   5.902  2.2075E-01  6.6908E-01  1.1425E-03  7.4319E-01
   1913  B2E            Sbend              393.612   5.902  2.2075E-01  9.9882E-01  1.1425E-03 -4.8583E-02
   1945  B2E            Sbend              417.971   5.902  2.2075E-01  5.9379E-01  1.1425E-03 -8.0462E-01
   1965  B2E            Sbend              435.569   5.902  2.2075E-01 -2.4806E-01  1.1425E-03 -9.6875E-01
   1995  B2E            Sbend              460.481   5.902  2.2075E-01 -9.0742E-01  1.1424E-03 -4.2022E-01
   2001  B2E            Sbend              468.729   5.902  2.2075E-01 -8.9925E-01  1.1425E-03  4.3743E-01
   2031  B2E            Sbend              493.642   5.902  2.2075E-01 -2.2955E-01  1.1424E-03  9.7330E-01
   2053  B2E            Sbend              511.239   5.902  2.2075E-01  6.0901E-01  1.1424E-03  7.9316E-01
   2083  B2E            Sbend              536.152   5.902  2.2075E-01  9.9956E-01  1.1425E-03  2.9546E-02
   2089  B2E            Sbend              544.400   5.902  2.2075E-01  6.5480E-01  1.1425E-03 -7.5580E-01
   2119  B2E            Sbend              569.312   5.902  2.2075E-01 -1.7167E-01  1.1425E-03 -9.8515E-01
   2141  B2E            Sbend              586.910   5.902  2.2075E-01 -8.7184E-01  1.1425E-03 -4.8978E-01
   2171  B2E            Sbend              611.822   5.902  2.2075E-01 -9.3066E-01  1.1425E-03  3.6589E-01
   2177  B2E            Sbend              620.070   5.902  2.2075E-01 -3.0484E-01  1.1425E-03  9.5240E-01
