  Index  name               key              s          l      floor.x     floor.y     floor.z     floor.theta floor.phi   floor.psi     spin.x          spin.y          spin.z
      0  BEGINNING          Beginning_Ele    0.000      ---    7.1725E-12  1.3317E-12  -5.5493E-09 -6.2832E+00 8.7701E-16  3.0552E-15    0.0033378767    0.9999648550    0.0076907267
      1  END                Marker               0.000   0.000  7.1725E-12  1.3317E-12 -5.5493E-09 -6.2832E+00  8.7701E-16  3.0552E-15    0.0033378767    0.9999648550    0.0076907267
      2  IP                 Marker               0.000   0.000  7.1725E-12  1.3317E-12 -5.5493E-09 -6.2832E+00  8.7701E-16  3.0552E-15    0.0033378767    0.9999648550    0.0076907267
      3  ESRE0              Marker               0.000   0.000  7.1725E-12  1.3317E-12 -5.5493E-09 -6.2832E+00  8.7701E-16  3.0552E-15    0.0033378767    0.9999648550    0.0076907267
      4  ECSRE5             Sad_Mult             0.010   0.010  7.1722E-12  1.3317E-12 -1.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0039604898    0.9999690304    0.0068009312
      5  ESRE10             Marker               0.010   0.000  7.1722E-12  1.3317E-12 -1.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0039604898    0.9999690304    0.0068009312
      6  ECSRE15            Sad_Mult             0.020   0.010  7.1719E-12  1.3317E-12 -2.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0045831721    0.9999720269    0.0059110084
      7  ESRE20             Marker               0.020   0.000  7.1719E-12  1.3317E-12 -2.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0045831721    0.9999720269    0.0059110084
      8  ECSRE25            Sad_Mult             0.030   0.010  7.1717E-12  1.3317E-12 -3.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0052058997    0.9999738436    0.0050210258
      9  ESRE30             Marker               0.030   0.000  7.1717E-12  1.3317E-12 -3.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0052058997    0.9999738436    0.0050210258
     10  ECSRE35            Sad_Mult             0.040   0.010  7.1714E-12  1.3317E-12 -4.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0058286488    0.9999744803    0.0041310515
     11  ESRE40             Marker               0.040   0.000  7.1714E-12  1.3317E-12 -4.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0058286488    0.9999744803    0.0041310515
     12  ECSRE45            Sad_Mult             0.050   0.010  7.1711E-12  1.3317E-12 -5.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0064513951    0.9999739369    0.0032411537
     13  ESRE50             Marker               0.050   0.000  7.1711E-12  1.3317E-12 -5.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0064513951    0.9999739369    0.0032411537
     14  ECSRE55            Sad_Mult             0.060   0.010  7.1709E-12  1.3317E-12 -6.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0070741142    0.9999722135    0.0023514014
     15  ESRE60             Marker               0.060   0.000  7.1709E-12  1.3317E-12 -6.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0070741142    0.9999722135    0.0023514014
     16  ECSRE65            Sad_Mult             0.070   0.010  7.1706E-12  1.3317E-12 -7.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0076967816    0.9999693108    0.0014618650
     17  ESRE70             Marker               0.070   0.000  7.1706E-12  1.3317E-12 -7.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0076967816    0.9999693108    0.0014618650
     18  ECSRE75            Sad_Mult             0.080   0.010  7.1703E-12  1.3317E-12 -8.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0083193719    0.9999652295    0.0005726156
     19  ESRE80             Marker               0.080   0.000  7.1703E-12  1.3317E-12 -8.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0083193719    0.9999652295    0.0005726156
     20  ECSRE85            Sad_Mult             0.090   0.010  7.1701E-12  1.3316E-12 -9.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0089418594    0.9999599708   -0.0003162710
     21  ESRE90             Marker               0.090   0.000  7.1701E-12  1.3316E-12 -9.0000E-02 -6.2832E+00  8.7701E-16  3.0552E-15    0.0089418594    0.9999599708   -0.0003162710
     22  ECSRE95            Sad_Mult             0.100   0.010  7.1698E-12  1.3316E-12 -1.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0095642177    0.9999535361   -0.0012047133
     23  ESRE100            Marker               0.100   0.000  7.1698E-12  1.3316E-12 -1.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0095642177    0.9999535361   -0.0012047133
     24  ECSRE105           Sad_Mult             0.110   0.010  7.1695E-12  1.3316E-12 -1.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0101864192    0.9999459274   -0.0020926275
     25  ESRE110            Marker               0.110   0.000  7.1695E-12  1.3316E-12 -1.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0101864192    0.9999459274   -0.0020926275
     26  ECSRE115           Sad_Mult             0.120   0.010  7.1693E-12  1.3316E-12 -1.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0108084358    0.9999371469   -0.0029799272
     27  ESRE120            Marker               0.120   0.000  7.1693E-12  1.3316E-12 -1.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0108084358    0.9999371469   -0.0029799272
     28  ECSRE125           Sad_Mult             0.130   0.010  7.1690E-12  1.3316E-12 -1.3000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0114302378    0.9999271972   -0.0038665199
